County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Concho,48,SJT,San Angelo,984 ,0.38%,0.30 ,"3,666",0.01%,1.10 ,"3,322",0.01%,"388,461.631",0.06%,116.936 ,207.754,0.26%,0.063 ,477.990,0.24%,0.144 ,"$7,150,956",0.06%,"$2,153 ","$881,943",0.15%,$265 ,"$5,420,537",0.13%,"$1,632 ","$13,453,436",0.08%,"$4,050 ",,
Cooke,49,WFS,Wichita Falls,875 ,0.33%,0.02 ,"61,042",0.23%,1.36 ,"44,986",0.14%,"1,983,490.817",0.32%,44.091 ,367.223,0.45%,0.008 ,847.464,0.42%,0.019 ,"$230,233,778",1.90%,"$5,118 ","$2,890,299",0.48%,$64 ,"$12,273,006",0.31%,$273 ,"$245,397,082",1.47%,"$5,455 ",,
Coryell,50,WAC,Waco,"1,052 ",0.40%,0.01 ,"67,125",0.25%,0.77 ,"87,186",0.28%,"1,357,698.169",0.22%,15.572 ,335.884,0.41%,0.004 ,781.874,0.39%,0.009 ,"$5,709,699",0.05%,$65 ,"$1,659,788",0.27%,$19 ,"$15,015,056",0.37%,$172 ,"$22,384,543",0.13%,$257 ,,
Cottle,51,CHS,Childress,901 ,0.34%,0.74 ,"1,607",0.01%,1.32 ,"1,220",0.00%,"59,561.367",0.01%,48.821 ,194.871,0.24%,0.160 ,389.742,0.19%,0.319 ,"$1,073,150",0.01%,$880 ,"$1,093,403",0.18%,$896 ,"$429,677",0.01%,$352 ,"$2,596,230",0.02%,"$2,128 ",,
Crane,52,ODA,Odessa,785 ,0.30%,0.17 ,"5,689",0.02%,1.20 ,"4,743",0.02%,"371,455.624",0.06%,78.317 ,137.828,0.17%,0.029 ,339.640,0.17%,0.072 ,"$4,283,483",0.04%,$903 ,"$744,447",0.12%,$157 ,"$598,941",0.01%,$126 ,"$5,626,872",0.03%,"$1,186 ",,
Crockett,53,SJT,San Angelo,"2,807 ",1.07%,1.03 ,"5,094",0.02%,1.87 ,"2,723",0.01%,"654,087.784",0.10%,240.209 ,317.825,0.39%,0.117 ,743.968,0.37%,0.273 ,"$3,304,975",0.03%,"$1,214 ","$655,874",0.11%,$241 ,"$2,720,167",0.07%,$999 ,"$6,681,016",0.04%,"$2,454 ",,
Crosby,54,LBB,Lubbock,900 ,0.34%,0.17 ,"5,667",0.02%,1.10 ,"5,169",0.02%,"194,658.045",0.03%,37.659 ,252.767,0.31%,0.049 ,569.164,0.28%,0.110 ,"$6,497,854",0.05%,"$1,257 ","$2,034,027",0.34%,$394 ,"$2,403,260",0.06%,$465 ,"$10,935,141",0.07%,"$2,116 ",,
Culberson,55,ELP,El Paso,"3,812 ",1.46%,1.67 ,"2,901",0.01%,1.27 ,"2,282",0.01%,"868,902.539",0.14%,380.764 ,320.110,0.39%,0.140 ,756.811,0.38%,0.332 ,"$43,199,214",0.36%,"$18,930 ","$1,500,132",0.25%,$657 ,"$24,243,539",0.60%,"$10,624 ","$68,942,884",0.41%,"$30,212 ",,
Dallam,56,AMA,Amarillo,"1,503 ",0.58%,0.19 ,"8,753",0.03%,1.12 ,"7,831",0.02%,"463,844.014",0.07%,59.232 ,301.691,0.37%,0.039 ,698.260,0.35%,0.089 ,"$367,582",0.00%,$47 ,"$1,928,638",0.32%,$246 ,"$1,735,947",0.04%,$222 ,"$4,032,167",0.02%,$515 ,,
Dallas,57,DAL,Dallas,873 ,0.33%,0.00 ,"2,119,019",7.86%,0.79 ,"2,691,548",8.53%,"43,641,546.969",6.99%,16.214 ,842.246,1.04%,0.000 ,"3,618.405",1.80%,0.001 ,"$670,471,791",5.55%,$249 ,"$7,778,813",1.28%,$3 ,"$138,015,564",3.43%,$51 ,"$816,266,167",4.88%,$303 ,,
