county,grand_total,total_kw,pop_estimate,daily_miles,opt_label,cons_label,kw_per_ev,ev_per_capita,kw_per_capita,miles_per_ev,miles_per_kw
Caldwell,181.0,1017.8,52987.0,1753753.003,over,over,5.623204419889502,0.0034159322097873064,0.019208485100118897,9689.243110497238,1723.0821408921204
Calhoun,43.0,81.0,20228.0,548957.04,under,under,1.8837209302325582,0.0021257662645837454,0.004004350405378683,12766.442790697676,6777.247407407408
Callahan,34.0,8200.0,14746.0,1161211.1,over,over,241.1764705882353,0.0023057100230571004,0.55608300556083,34153.26764705883,141.61110975609756
Cameron,1859.0,10986.5,433199.0,7810181.796,over,over,5.909897794513179,0.004291330312396843,0.025361323548761656,4201.281224314147,710.8889815682884
Chambers,246.0,622.4,57010.0,3265240.154,under,under,2.530081300813008,0.00431503245044729,0.010917382915278022,13273.333959349593,5246.208473650386
Cherokee,114.0,623.4,53809.0,1291186.407,over,over,5.468421052631578,0.002118604694381981,0.011585422512962516,11326.196552631578,2071.2005245428295
Childress,10.0,1257.8,6577.0,469859.009,over,over,125.78,0.001520450053215752,0.19124220769347727,46985.9009,373.5562164096041
Clay,22.0,2160.0,10752.0,827464.952,over,over,98.18181818181819,0.0020461309523809525,0.20089285714285715,37612.04327272728,383.08562592592597
Coke,2.0,33.2,3505.0,220252.127,over,over,16.6,0.0005706134094151213,0.009472182596291014,110126.0635,6634.100210843373
Collin,32652.0,59301.7,1272999.0,11299496.486,over,over,1.8161735881416146,0.025649666653312374,0.04658424712038265,346.0583267793703,190.54253901658805
Colorado,77.0,7687.0,21543.0,2184371.781,over,over,99.83116883116882,0.0035742468551269555,0.3568212412384533,28368.464688311687,284.1644049694289
Comal,2519.0,2174.6,207603.0,5835263.023,under,under,0.863279078999603,0.012133736025009273,0.010474800460494309,2316.4998106391427,2683.3730446978757
Comanche,22.0,1010.0,14524.0,579910.809,over,over,45.90909090909091,0.0015147342329936656,0.06954007160561829,26359.582227272727,574.1691178217822
Cooke,152.0,6000.0,44986.0,1983490.817,over,over,39.473684210526315,0.0033788289690125815,0.13337482772418086,13049.281690789474,330.5818028333333
Coryell,289.0,425.6,87186.0,1357698.169,under,under,1.4726643598615918,0.0033147523684995297,0.004881517674856055,4697.917539792387,3190.080284304511
Crockett,8.0,4950.0,2723.0,654087.784,over,over,618.75,0.0029379360998898272,1.8178479618068306,81760.973,132.13894626262626
Dallam,20.0,13.4,7831.0,463844.014,under,under,0.67,0.0025539522410930916,0.0017111480015323715,23192.2007,34615.224925373135
