model,battery_capacity_kWh,efficiency_wh_per_km,range_km,fast_charging_power_kw_dc,fast_charge_port
volvo ec40 twin motor performance (my26),79.0,155,400,125.0,CCS
volvo es90 single motor (my26),88.0,135,485,190.0,CCS
volvo es90 twin motor (my26),102.0,146,530,225.0,CCS
volvo es90 twin motor performance (my26),102.0,146,530,225.0,CCS
volvo ex30 cross country (my26),65.0,152,330,114.0,CCS
volvo ex30 single motor (my24-26),49.0,147,275,80.0,CCS
volvo ex30 single motor er (my24-26),65.0,138,365,113.0,CCS
volvo ex30 twin motor performance (my24-26),65.0,145,340,113.0,CCS
volvo ex40 single motor (my26),67.0,154,345,110.0,CCS
volvo ex40 single motor er (my26),79.0,152,400,125.0,CCS
volvo ex40 twin motor (my26),79.0,163,385,125.0,CCS
volvo ex40 twin motor performance (my26),79.0,163,385,125.0,CCS
volvo ex90 single motor (my24-26),100.0,182,460,140.0,CCS
volvo ex90 twin motor (my24-26),107.0,188,470,150.0,CCS
volvo ex90 twin motor performance (my24-26),107.0,188,455,150.0,CCS
voyah free 106 kwh,100.0,200,480,80.0,CCS
xpeng g6 awd performance,87.5,159,475,180.0,CCS
xpeng g6 rwd long range,87.5,154,480,180.0,CCS
xpeng g6 rwd standard range,66.0,152,370,140.0,CCS
xpeng g9 awd performance,93.1,179,465,224.0,CCS
xpeng g9 rwd long range,93.1,163,480,224.0,CCS
xpeng g9 rwd standard range,75.8,165,395,170.0,CCS
